g1,g2,ccted,iteration,gted,edit_distance,gted_time,ccted_time
simulated207,simulated187,31.0,2,31.0,56,10.034539937973022,5.417261362075806
simulated207,simulated25,33.0,5,33.0,71,26.877652645111084,5.145007371902466
simulated207,simulated256,30.0,6,30.0,54,87.25390553474426,21.16463804244995
simulated207,simulated460,2.0,1,2.0,2,1.058779239654541,0.9830706119537354
simulated207,simulated296,31.0,22,31.0,59,289.6653425693512,26.185850620269775
simulated207,simulated330,33.0,18,34.0,70,326.7500705718994,9.376923322677612
simulated207,simulated262,29.0,2,29.0,58,10.343223571777344,4.631001234054565
simulated393,simulated393,0.0,1,0.0,0,0.9922940731048584,0.9174816608428955
simulated393,simulated191,28.999999913854797,4,29.0,60,14.616648435592651,3.9155843257904053
simulated393,simulated167,33.0,12,33.0,64,108.22078323364258,7.905952215194702
simulated393,simulated141,32.0,7,32.0,67,61.66495108604431,6.557919502258301
simulated393,simulated287,30.0,2,30.0,58,10.696139574050903,5.99084734916687
simulated393,simulated280,33.0,9,33.0,68,46.9766800403595,5.260141372680664
simulated393,simulated333,32.0,21,32.0,68,240.1111285686493,6.604616641998291
simulated393,simulated305,30.0,18,31.0,59,181.24556016921997,5.171296834945679
simulated393,simulated187,31.0,14,31.0,56,101.21984314918518,5.774108171463013
simulated393,simulated25,33.0,13,33.0,72,65.50984477996826,6.023656606674194
simulated393,simulated256,30.0,2,30.0,55,18.07976984977722,8.771116256713867
simulated393,simulated460,3.0,1,3.0,3,0.9942440986633301,0.9190046787261963
simulated393,simulated296,32.0,6,32.0,60,91.879314661026,15.36775255203247
simulated393,simulated330,34.0,2,34.0,71,16.831360578536987,8.158330917358398
simulated393,simulated262,29.0,10,29.0,58,48.29139232635498,4.674297332763672
simulated191,simulated191,0.0,2,0.0,0,1.4743216037750244,0.8879821300506592
simulated191,simulated167,31.0,2,30.99999989571566,65,12.425344228744507,5.803116798400879
simulated191,simulated141,29.0,2,29.0,56,17.51324224472046,8.792162895202637
simulated191,simulated287,29.0,3,30.0,45,35.17406463623047,5.83259391784668
simulated191,simulated280,33.0,6,33.0,64,51.95207333564758,5.954997539520264
simulated191,simulated333,32.0,1,32.0,62,11.168529033660889,11.091811895370483
simulated191,simulated305,29.0,13,30.0,45,156.23082900047302,6.71521258354187
simulated191,simulated187,30.0,2,30.0,50,19.05072546005249,11.504380941390991
simulated191,simulated25,37.0,8,37.0,79,88.84417533874512,10.825061082839966
simulated191,simulated256,33.0,13,33.0,51,235.53093266487122,11.839712381362915
simulated191,simulated460,28.0,3,28.0,60,14.673495531082153,5.314464807510376
simulated191,simulated296,29.0,8,29.0,45,65.25408792495728,9.028512716293335
simulated191,simulated330,31.0,3,31.0,60,36.307717084884644,9.319214344024658
simulated191,simulated262,30.0,2,30.0,55,15.16655421257019,8.345580339431763
simulated167,simulated167,0.0,1,0.0,0,0.9784643650054932,0.9021844863891602
simulated167,simulated141,29.0,2,29.0,63,7.275089263916016,3.389596700668335
simulated167,simulated287,33.0,2,33.0,65,11.819375276565552,4.64201545715332
simulated167,simulated280,31.999999139026535,8,32.0,66,33.42412281036377,4.931089639663696
simulated167,simulated333,34.0,1,34.0,65,12.460082292556763,12.383224964141846
