gted_compact,time_gted_compact,ccted,time_ccted,iteration,gted,time_gted_it
2.0,0.37999486923217773,0.0,0.0390925407409668,3,2.0,0.16216731071472168
2.0,0.3815791606903076,0.0,0.08797264099121094,14,2.0,0.6999032497406006
2.0,0.4685540199279785,0.0,0.040044307708740234,6,2.0,0.27174973487854004
2.0,0.43631553649902344,0.0,0.03445100784301758,20,2.0,0.4866201877593994
2.0,0.33203625679016113,0.0,0.039537668228149414,9,2.0,0.4326052665710449
2.0,0.7376835346221924,0.0,0.05200982093811035,38,2.0,4.959686756134033
2.0,0.42745542526245117,0.0,0.04299497604370117,12,2.0,0.4752647876739502
2.0,0.3348124027252197,0.0,0.039224863052368164,61,2.0,4.512014150619507
4.0,1.093923568725586,1.0,0.04264044761657715,120,4.0,64.76539874076843
4.0,1.7867035865783691,1.0,0.04808306694030762,106,4.0,13.94822382926941
4.0,1.0050811767578125,1.0,0.0463869571685791,146,4.0,122.2934193611145
4.0,2.7511589527130127,1.0,0.06606507301330566,49,4.0,6.062912702560425
4.0,0.7645032405853271,1.0,0.05204010009765625,44,4.0,3.8183839321136475
4.0,0.2636270523071289,1.0,0.034759521484375,59,4.0,5.556090354919434
4.0,1.2203099727630615,1.0,0.053197383880615234,42,4.0,4.061085224151611
4.0,1.0171887874603271,1.0,0.10200738906860352,24,4.0,1.9460289478302002
4.0,0.7037642002105713,1.0,0.04429197311401367,153,4.0,97.95332884788513
4.0,3.1034183502197266,1.0,0.041205406188964844,128,4.0,85.69334411621094
4.0,1.195908784866333,1.0,0.055581092834472656,37,4.0,3.6392879486083984
3.0,1.5438346862792969,0.0,0.0390772819519043,76,3.0,18.09096646308899
3.0,0.9123713970184326,0.0,0.06915450096130371,21,3.0,1.9472579956054688
4.0,0.6621675491333008,1.0,0.049489736557006836,31,4.0,2.4670894145965576
4.0,0.7617306709289551,1.0,0.053563594818115234,27,4.0,2.407728910446167
4.0,0.751917839050293,1.0,0.04795408248901367,115,4.0,46.77731680870056
4.0,1.4709491729736328,1.0,0.048137664794921875,66,4.0,16.35907793045044
3.0,1.442732572555542,0.0,0.0648491382598877,33,3.0,3.205953359603882
4.0,0.6471798419952393,1.0,0.05637311935424805,45,4.0,5.438324213027954
4.0,1.7984488010406494,1.0,0.049393415451049805,30,4.0,1.8016266822814941
4.0,1.2442777156829834,0.0,0.0531315803527832,73,4.0,12.085782289505005
5.0,2.4167275428771973,1.0,0.05806756019592285,231,5.0,191.1285479068756
4.0,1.48545503616333,0.0,0.10978341102600098,196,4.0,79.13664865493774
4.0,1.989532709121704,0.0,0.07660722732543945,304,4.0,233.67260122299194
4.0,1.2508955001831055,0.0,0.04971170425415039,72,4.0,14.252336978912354
4.0,1.090874195098877,0.0,0.0521693229675293,349,4.0,566.5354096889496
4.0,1.5564823150634766,0.0,0.06620907783508301,-452,4.0,1203.966084241867
4.0,1.2606666088104248,0.0,0.1186680793762207,113,4.0,31.409115076065063
6.0,0.396622896194458,2.0,0.03466463088989258,356,6.0,223.29808282852173
4.0,0.9989354610443115,0.0,0.04884624481201172,37,4.0,4.036514759063721
4.0,1.611818552017212,0.0,0.06652140617370605,173,4.0,67.34771728515625
4.0,0.888390064239502,0.0,0.051993608474731445,102,4.0,25.12438702583313
